Menopausal Stage,Number of Hot Flashes,Sample Size
Pre-menopause,0.030675564424889962,1930
Early Peri,0.0040147887813324476,6169
Late Peri,0.012812761734910489,1331
Post-menopause,-0.03466506345629307,5471
Surgical,0.10163727633960416,872
